Precipitation,Date,StationName
0.0,2017-01-01,板橋
0.0,2017-01-02,板橋
2.5,2017-01-03,板橋
0.0,2017-01-04,板橋
0.0,2017-01-05,板橋
T,2017-01-06,板橋
T,2017-01-07,板橋
T,2017-01-08,板橋
0.0,2017-01-09,板橋
0.0,2017-01-10,板橋
0.0,2017-01-11,板橋
0.0,2017-01-12,板橋
7.5,2017-01-13,板橋
11.0,2017-01-14,板橋
0.5,2017-01-15,板橋
1.0,2017-01-16,板橋
0.0,2017-01-17,板橋
0.0,2017-01-18,板橋
T,2017-01-19,板橋
2.5,2017-01-20,板橋
0.0,2017-01-21,板橋
0.0,2017-01-22,板橋
0.0,2017-01-23,板橋
0.0,2017-01-24,板橋
T,2017-01-25,板橋
0.0,2017-01-26,板橋
T,2017-01-27,板橋
T,2017-01-28,板橋
0.0,2017-01-29,板橋
0.0,2017-01-30,板橋
0.0,2017-01-31,板橋
0.0,2017-02-01,板橋
0.0,2017-02-02,板橋
0.0,2017-02-03,板橋
0.0,2017-02-04,板橋
0.4,2017-02-05,板橋
0.0,2017-02-06,板橋
0.0,2017-02-07,板橋
T,2017-02-08,板橋
2.0,2017-02-09,板橋
0.0,2017-02-10,板橋
0.0,2017-02-11,板橋
0.0,2017-02-12,板橋
0.0,2017-02-13,板橋
0.0,2017-02-14,板橋
0.0,2017-02-15,板橋
0.0,2017-02-16,板橋
0.0,2017-02-17,板橋
0.0,2017-02-18,板橋
0.0,2017-02-19,板橋
0.5,2017-02-20,板橋
0.0,2017-02-21,板橋
18.0,2017-02-22,板橋
1.5,2017-02-23,板橋
42.0,2017-02-24,板橋
39.5,2017-02-25,板橋
19.5,2017-02-26,板橋
0.0,2017-02-27,板橋
1.0,2017-02-28,板橋
0.5,2017-03-01,板橋
0.0,2017-03-02,板橋
0.0,2017-03-03,板橋
T,2017-03-04,板橋
0.0,2017-03-05,板橋
25.0,2017-03-06,板橋
9.0,2017-03-07,板橋
2.5,2017-03-08,板橋
T,2017-03-09,板橋
28.0,2017-03-10,板橋
3.0,2017-03-11,板橋
0.0,2017-03-12,板橋
8.5,2017-03-13,板橋
9.5,2017-03-14,板橋
0.0,2017-03-15,板橋
21.5,2017-03-16,板橋
2.5,2017-03-17,板橋
T,2017-03-18,板橋
4.0,2017-03-19,板橋
0.0,2017-03-20,板橋
0.0,2017-03-21,板橋
2.0,2017-03-22,板橋
5.5,2017-03-23,板橋
0.0,2017-03-24,板橋
37.0,2017-03-25,板橋
16.0,2017-03-26,板橋
0.0,2017-03-27,板橋
0.0,2017-03-28,板橋
0.0,2017-03-29,板橋
0.0,2017-03-30,板橋
30.5,2017-03-31,板橋
14.0,2017-04-01,板橋
0.0,2017-04-02,板橋
0.0,2017-04-03,板橋
0.0,2017-04-04,板橋
0.0,2017-04-05,板橋
0.0,2017-04-06,板橋
T,2017-04-07,板橋
0.0,2017-04-08,板橋
0.0,2017-04-09,板橋
0.0,2017-04-10,板橋
15.5,2017-04-11,板橋
17.0,2017-04-12,板橋
6.0,2017-04-13,板橋
T,2017-04-14,板橋
0.0,2017-04-15,板橋
0.3,2017-04-16,板橋
0.0,2017-04-17,板橋
0.0,2017-04-18,板橋
4.3,2017-04-19,板橋
1.4,2017-04-20,板橋
33.0,2017-04-21,板橋
10.0,2017-04-22,板橋
T,2017-04-23,板橋
1.2,2017-04-24,板橋
T,2017-04-25,板橋
2.0,2017-04-26,板橋
21.0,2017-04-27,板橋
0.0,2017-04-28,板橋
0.0,2017-04-29,板橋
0.0,2017-04-30,板橋
0.0,2017-05-01,板橋
0.8,2017-05-02,板橋
0.5,2017-05-03,板橋
0.0,2017-05-04,板橋
0.5,2017-05-05,板橋
0.0,2017-05-06,板橋
0.0,2017-05-07,板橋
0.0,2017-05-08,板橋
1.2,2017-05-09,板橋
0.0,2017-05-10,板橋
0.0,2017-05-11,板橋
0.4,2017-05-12,板橋
9.0,2017-05-13,板橋
0.0,2017-05-14,板橋
52.0,2017-05-15,板橋
42.5,2017-05-16,板橋
5.0,2017-05-17,板橋
0.0,2017-05-18,板橋
4.5,2017-05-19,板橋
1.5,2017-05-20,板橋
0.0,2017-05-21,板橋
0.0,2017-05-22,板橋
0.0,2017-05-23,板橋
16.5,2017-05-24,板橋
2.0,2017-05-25,板橋
0.0,2017-05-26,板橋
9.5,2017-05-27,板橋
0.0,2017-05-28,板橋
0.0,2017-05-29,板橋
5.5,2017-05-30,板橋
1.5,2017-05-31,板橋
0.0,2017-06-01,板橋
144.5,2017-06-02,板橋
160.0,2017-06-03,板橋
17.0,2017-06-04,板橋
0.0,2017-06-05,板橋
T,2017-06-06,板橋
0.0,2017-06-07,板橋
0.0,2017-06-08,板橋
0.0,2017-06-09,板橋
1.0,2017-06-10,板橋
6.0,2017-06-11,板橋
15.5,2017-06-12,板橋
44.0,2017-06-13,板橋
62.5,2017-06-14,板橋
45.5,2017-06-15,板橋
35.5,2017-06-16,板橋
62.5,2017-06-17,板橋
18.5,2017-06-18,板橋
1.5,2017-06-19,板橋
0.0,2017-06-20,板橋
T,2017-06-21,板橋
0.0,2017-06-22,板橋
0.0,2017-06-23,板橋
0.0,2017-06-24,板橋
0.0,2017-06-25,板橋
0.0,2017-06-26,板橋
T,2017-06-27,板橋
T,2017-06-28,板橋
30.5,2017-06-29,板橋
28.5,2017-06-30,板橋
37.0,2017-07-01,板橋
0.0,2017-07-02,板橋
2.5,2017-07-03,板橋
3.0,2017-07-04,板橋
0.0,2017-07-05,板橋
0.1,2017-07-06,板橋
29.5,2017-07-07,板橋
3.0,2017-07-08,板橋
11.0,2017-07-09,板橋
2.5,2017-07-10,板橋
1.5,2017-07-11,板橋
55.0,2017-07-12,板橋
0.0,2017-07-13,板橋
0.0,2017-07-14,板橋
0.0,2017-07-15,板橋
0.0,2017-07-16,板橋
0.0,2017-07-17,板橋
0.0,2017-07-18,板橋
0.0,2017-07-19,板橋
0.0,2017-07-20,板橋
0.0,2017-07-21,板橋
0.0,2017-07-22,板橋
0.0,2017-07-23,板橋
6.5,2017-07-24,板橋
0.0,2017-07-25,板橋
12.5,2017-07-26,板橋
6.5,2017-07-27,板橋
1.0,2017-07-28,板橋
33.5,2017-07-29,板橋
0.5,2017-07-30,板橋
7.0,2017-07-31,板橋
0.0,2017-08-01,板橋
29.0,2017-08-02,板橋
33.5,2017-08-03,板橋
